TELERIDE_NUMBER,STOP_NAME,STATUS,point
9182,EB 114 AV SE @ 24 ST SE,ACTIVE,POINT (-114.000146991232 50.9532816948903)
8548,NB 50 ST SW @ S. of 40 AV SW,ACTIVE,POINT (-114.159609348377 51.0147307187103)
4285,WB Dover Ridge Dr @ 26A St SE,ACTIVE,POINT (-113.996902007644 51.0187903590497)
8883,EB Royal Oak DR @ Royal Crest TC NW,ACTIVE,POINT (-114.218237798274 51.140456711126)
5430,WB University WY @ Craigie Hall,ACTIVE,POINT (-114.127049427854 51.0764775732877)
4724,WB Taradale DR @ Taravista ST NE,ACTIVE,POINT (-113.934613887058 51.1141656502909)
7910,EB Temple DR @ Templegreen DR NE,ACTIVE,POINT (-113.944914190385 51.0925595184043)
6912,NB 21 ST SE @ River Rock CI,ACTIVE,POINT (-114.008895202926 50.9713884938619)
7979,NB Kincora Glen GR @ Kincora Glen BA NW,ACTIVE,POINT (-114.134821543356 51.1639457887521)
9628,WB Saddlehorn DR @ Saddlemont BV NE,INACTIVE,POINT (-113.94163736044 51.1289198645783)
6313,NB 77 ST NW @ Bowness RD,ACTIVE,POINT (-114.199201308286 51.0892995266991)
6714,EB 26 AV NE @ Rundlehill DR West leg,ACTIVE,POINT (-113.969559960869 51.0780538934134)
4419,EB 58 AV SE @ 9 ST SE,ACTIVE,POINT (-114.040176100007 51.0016806135383)
6051,EB 26 AV NE @ 52 ST NE,ACTIVE,POINT (-113.957400251464 51.0762176042865)
4647,SB Copperfield BV @ Copperfield MR SE,ACTIVE,POINT (-113.937992038948 50.9102477527617)
4915,EB Dufferin BV @ 52 ST SE,ACTIVE,POINT (-113.957386497377 50.9538566750313)
9196,NB Elbow DR @ Southglen DR SW,ACTIVE,POINT (-114.084699717409 50.9550198568751)
6582,WB McKenzie Lake BV @ Mount McKenzie WY SE,ACTIVE,POINT (-113.984981618832 50.9154080134469)
68201,Sunnyside LRT Station,INACTIVE,POINT (-114.084399665019 51.0564056933233)
2487,Deerfoot Meadows Station (EB),ACTIVE,POINT (-114.043110811226 50.9870778552679)
7549,NB 33 ST NE @ 8 AV NE,ACTIVE,POINT (-113.985915639662 51.0599563860661)
6450,NB Macleod TR @ 73 AV SE,INACTIVE,POINT (-114.071345519129 50.9870943711609)
4211,WB Acadia DR @ Ancourt RD SE,ACTIVE,POINT (-114.05394149697 50.9723003982996)
9364,WB Discovery Ridge BV @ Discovery Ridge HL SW,ACTIVE,POINT (-114.214671338755 51.0153286550063)
3757,WB Heritage DR @ Elbow DR SW,INACTIVE,POINT (-114.083526469556 50.9796547119285)
2351,Oliver Bowen,INACTIVE,POINT (-113.977322758507 51.1028482681746)
6318,EB Rivervalley DR @ 18 ST SE,ACTIVE,POINT (-114.016288604409 50.9727291122136)
7379,SB MacEwan DR @ MacEwan Ridge GA NW,ACTIVE,POINT (-114.116501041585 51.1394030016118)
6674,EB Rundlehorn DR @ 52 ST NE,ACTIVE,POINT (-113.95752261762 51.0715253753704)
4381,EB Madigan DR @ Madeira RD NE,ACTIVE,POINT (-113.949635538883 51.0629362411148)
8602,WB Arbour Crest DR @ Arbour Butte RD NW,ACTIVE,POINT (-114.20231255432 51.1401755170968)
9303,NB Bannister RD @ 151 AV SE,ACTIVE,POINT (-114.067872218963 50.9176107532797)
6086,NB Varsity Estates Dr @ Varsity Estates PL NW,ACTIVE,POINT (-114.178512248319 51.1032740798457)
5819,SB Silvergrove DR @ Silverstone RD NW,ACTIVE,POINT (-114.194136763429 51.1151454598936)
5064,EB 14 AV SE @ 52 ST SE,ACTIVE,POINT (-113.957675877022 51.0409011536231)
5528,Chinook LRT Station NB,ACTIVE,POINT (-114.067327632737 50.9972477418799)
3889,EB 26 AV SE @ 11 ST SE,ACTIVE,POINT (-114.035799181006 51.030515403771)
3489,Dalhousie LRT Station EB,INACTIVE,POINT (-114.158392137324 51.1041869340883)
7970,NB Skyview Ranch DR @ Skyview Ranch CR NE,INACTIVE,POINT (-113.961886081262 51.1604375648873)
8935,EB Signature WY @ Signature CL SW,INACTIVE,POINT (-114.170375721905 51.0348525412635)
6833,Brentwood LRT Station NB,ACTIVE,POINT (-114.132869134098 51.086844888686)
3552,NB 24 ST @ Quarry Park BV SE,ACTIVE,POINT (-114.001393360311 50.9639999128282)
5573,EB Mission RD @ 34 AV SW,ACTIVE,POINT (-114.065990241062 51.0229486489511)
6940,NB Sunlake RD @ E. Leg Sunmeadows CR SE,ACTIVE,POINT (-114.037986924357 50.8936844309584)
6129,SB 19 ST NW @ Canmore RD,ACTIVE,POINT (-114.10639922149 51.0766487529162)
6350,EB 40 AV NW @ Northmount DR,ACTIVE,POINT (-114.084865555988 51.0887060758183)
2337,SB 68 ST NE @ 4 AV NE,ACTIVE,POINT (-113.935421549538 51.0555362341564)
2807,SB 74 ST SE @ N. of 107 AV SE,ACTIVE,POINT (-113.926747992755 50.9602616397893)
6631,NB 69 ST NW @ 32 AV NW,ACTIVE,POINT (-114.187493319663 51.0819484555998)
3683,EB Hamptons DR @ Hamptons HT NW,ACTIVE,POINT (-114.143310283715 51.1476546909254)
2253,EB 58 AV @ 37 ST SW,ACTIVE,POINT (-114.140596782094 51.0008607667144)
9752,SB 18 ST SE @ Quarry Park RD,INACTIVE,POINT (-114.009653965668 50.9591386451193)
8041,WB 2 AV NW @ 7 ST NW,ACTIVE,POINT (-114.080155100318 51.0569265929693)
8937,SB Sienna Park DR @ Sienna Park PL SW,ACTIVE,POINT (-114.180626808711 51.0248465022659)
5115,WB 6 AV SW @ 1 ST SW,ACTIVE,POINT (-114.065092397616 51.0475784312054)
6049,EB 26 AV NE @ Rundlelawn RD,ACTIVE,POINT (-113.973529763159 51.0778330042283)
4551,NB Southport RD @ 99 AV SW,ACTIVE,POINT (-114.072423359021 50.9615936936558)
3536,WB Royal Oak DR NW @ Royal Elm DR NW,ACTIVE,POINT (-114.231333261664 51.1388329496843)
